"scientificName"
"Lasioglossum heterorhinum (Cockerell, 1930)"
"Perdita abdominalis Timberlake, 1960"
"Andrena leucomystax Thorp & LaBerge, 2005"
"Calliopsis limbus Shinn, 1967"
"Hylaeus affinis (Smith, 1853)"
"Atoposmia hypostomalis (Michener, 1949)"
"Protandrena mexicanorum (Cockerell, 1896)"
"Lasioglossum abundipunctum Gibbs, 2010"
"Lasioglossum prasinogaster"
"Ashmeadiella clypeodentata Michener, 1936"
"Pseudopanurgus perpunctatus Timberlake, 1973"
"Nomadopsis filiorum Rozen, 1963"
"Holcopasites minimus (Linsley, 1943)"
"Andrena mesoleuca Cockerell, 1924"
"Dufourea tarsata Bohart, 1947"
"Ashmeadiella titusi Michener, 1939"
"Colletes rufocinctus Cockerell, 1929"
"Hylaeus sonorensis Cockerell, 1924"
"Triepeolus joliae Rightmyer, 2008"
"Andrena capricornis Casad & Cockerell, 1896"
"Lasioglossum lusorium (Cresson, 1872)"
"Calliopsis rogeri Shinn, 1967"
"Perdita heliophila Cockerell, 1916"
"Holcopasites bohartorum Hurd & Linsley, 1972"
"Andrena bocensis Donovan, 1977"
"Andrena papagorum Viereck & Cockerell, 1914"
"Micralictoides quadriceps Bohart & Griswold, 1987"
"Ashmeadiella erema Michener, 1939"
"Lasioglossum laevissimum (Smith, 1853)"
"Melissodes saponellus Cockerell, 1908"
"Dufourea subdavidsoni Bohart, 1949"
"Dufourea leachi Timberlake, 1939"
"Lasioglossum foxii (Robertson, 1895)"
"Anthophorula cerei (Timberlake, 1947)"
"Nomada crucis Cockerell, 1903"
"Perdita duplonotata Timberlake, 1956"
"Oreopasites euphorbiae Cockerell, 1929"
"Coelioxys gonaspis Cockerell, 1924"
"Colletes wickhami Timberlake, 1943"
"Ceratina dallatorreana Friese, 1896"
"Panurginus bilobatus Michener, 1937"
"Andrena inclinata Viereck, 1917"
"Hoplitis laevibullata (Michener, 1943)"
"Nomia foxii Dalla Torre, 1896"
"Nomada davidsoni Cockerell, 1903"
"Andrena declinis LaBerge, 1977"
"Osmia longula Cresson, 1864"
"Megachile mojavensis Mitchell, 1934"
"Atoposmia arizonensis (Michener, 1954)"
"Nomada mutans Cockerell, 1910"
"Melissodes submenuacha Cockerell, 1897"
"Nomada vegana Cockerell, 1903"
"Andrena balsamorhizae LaBerge, 1967"
"Stelis holocyanea (Cockerell, 1925)"
"Andrena astragali Viereck & Cockerell, 1914"
"Osmia marginipennis Cresson, 1878"
"Colletes annae Cockerell, 1897"
"Nomada debilis Timberlake, 1954"
"Brachymelecta californica (Cresson, 1878)"
"Lasioglossum petrellum (Cockerell, 1903)"
"Xylocopa californica diamesa Hurd, 1954"
"Pseudaugochlora graminea (Fabricius, 1804)"
"Agapostemon nasutus Smith, 1853"
"Halictus virgatellus Cockerell, 1901"
"Lasioglossum clematisellum (Cockerell, 1904)"
"Lasioglossum impavidum (Sandhouse, 1924)"
"Lasioglossum longicorne (Crawford, 1907)"
"Lasioglossum pulveris (Cockerell, 1930)"
"Sphecodes olympicus Cockerell, 1904"
"Dieunomia heteropoda kirbii (Smith, 1865)"
"Dieunomia nevadensis (Cresson, 1874)"
"Conanthalictus macrops Cockerell, 1916"
"Dufourea trochantera Bohart, 1948"
"Osmia sedula Sandhouse, 1924"
"Dianthidium ulkei ulkei"
"Eucera venusta (Timberlake, 1961)"
"Perdita falcata Timberlake, 1964"
"Lasioglossum aberrans (Crawford, 1903)"
"Lasioglossum cyanurum (Cockerell, 1936)"
"Conanthalictus namatophilus Timberlake, 1961"
"Dufourea bernardina (Michener, 1937)"
"Dufourea scabricornis Bohart, 1949"
"Protohalonia venusta (Timberlake, 1961)"
"Andrena decolorata LaBerge & Thorp, 2005"
"Calliopsis boharti (Rozen, 1958)"
"Perdita glabrescens Timberlake, 1962"
"Protodufourea zavortinki Bohart & Griswold, 1997"
"Dufourea saundersi (Cockerell, 1898)"
"Andrena omninigra clarkiae Linsley & MacSwain, 1961"
"Calliopsis micheneri (Rozen, 1958)"
"Perdita interrupta kernensis Timberlake, 1956"
"Dufourea orovada Bohart, 1980"
"Dufourea vandykei Bohart, 1948"
"Osmia simillima Smith, 1853"
"Coelioxys deani Cockerell, 1909"
"Andrena convallaria convallaria"
"Perdita aemula quadrifasciata Timberlake, 1968"
"Perdita leucophylli Timberlake, 1964"
"Lasioglossum imitatum (Smith, 1853)"
"Andrena vespertina Linsley & MacSwain, 1961"
"Perdita crotonis cucullata Timberlake, 1960"
"Augochloropsis sumptuosa (Smith, 1853)"
"Perdita crotonis juabensis Timberlake, 1962"
"Dufourea pectinipes Bohart, 1948"
"Perdita digressa Timberlake, 1968"
"Perdita retusa Timberlake, 1960"
"Lasioglossum marinense (Michener, 1936)"
"Sphecodes discrepans Cockerell, 1932"
"Andrena malacothricidis Thorp, 1969"
"Perdita plucheae Timberlake, 1960"
"Peponapis timberlakei Hurd & Linsley, 1964"
"Agapostemon mexicanus Roberts, 1972"
"Agapostemon peninsularis Roberts, 1972"
"Sphecodes prosphorus Lovell & Cockerell, 1907"
"Dufourea australis (Michener, 1937)"
"Dufourea brevicornis Timberlake, 1939"
"Perdita pusilla Timberlake, 1964"
"Svastra pallidior LaBerge, 1963"
"Melissodes expolita LaBerge, 1961"
"Andrena convallaria subhyalina Linsley & MacSwain, 1963"
"Andrena ribblei LaBerge, 1977"
"Augochlorella aurata (Smith, 1853)"
"Conanthalictus seminiger Michener, 1937"
"Perdita amplipennis Timberlake, 1962"
"Macrotera nigrella (Timberlake, 1954)"
"Triepeolus argentimus Rightmyer, 2008"
"Perdita chionostoma Timberlake, 1964"
"Osmia pikei Cockerell, 1907"
"Perdita exigua Timberlake, 1964"
"Lasioglossum grinnelli (Cockerell, 1916)"
"Protodufourea koso Bohart & Griswold, 1997"
"Andrena oraria actitis Linsley & MacSwain, 1963"
"Perdita genalis Timberlake, 1964"
"Perdita socia Timberlake, 1968"
"Bombus frigidus Smith, 1854"
"Lasioglossum perparvum (Ellis, 1914)"
"Dufourea latifrons Timberlake, 1939"
"Andrena hermosa Ribble, 1968"
"Perdita assimilis Timberlake, 1964"
"Lasioglossum amicum (Cockerell, 1897)"
"Lasioglossum pruinosiforme (Crawford, 1906)"
"Perdita aureovittata stenozona Timberlake, 1956"
"Perdita navarretiae Timberlake, 1958"
"Dufourea tularensis Timberlake, 1941"
"Nomadopsis anthidius lutea Rozen, 1958"
"Dioxys pomonae Cockerell, 1910"
"Andrena limnanthis Timberlake, 1951"
"Bombus mormonorum Franklin, 1911"
"Xylocopa micheneri micheneri"
"Perdita ruficauda Cockerell, 1916"
"Bombus variabilis (Cresson, 1872)"
"Bombus campestris (Panzer, 1801)"
"Melissodes microstictus Cockerell, 1905"
"Melissodes metenuus Cockerell, 1924"
"Bombus flavidus Eversmann, 1852"
"Megachile lapponica Thomson, 1872"
"Lasioglossum inconditum (Cockerell, 1916)"
"Coelioxys alternata Say, 1837"
"Lasioglossum ruidosense (Cockerell, 1897)"
"Anthophora maculifrons Cresson, 1879"
"Anthophora lesquerellae (Cockerell, 1896)"
"Dianthidium platyurum Cockerell, 1923"
"Hoplitis boharti (Timberlake & Michener, 1950)"
"Hoplitis emarginata (Griswold, 1983)"
"Habropoda dammersi (Timberlake, 1937)"
"Atoposmia abjecta (Cresson, 1878)"
"Anthidiellum robertsoni (Cockerell, 1904)"
"Anthidium oblongatum (Illiger, 1806)"
"Pseudoanthidium nanum (Mocsáry, 1881)"
"Bombus vancouverensis Cresson, 1879"
"Lasioglossum zonulum (Smith, 1848)"
"Ceratina micheneri Daly, 1973"
"Anthidium manicatum (Linnaeus, 1758)"
"Calliopsis anthidius Fowler, 1899"
"Heriades carinatus Cresson, 1864"
"Osmia cornifrons (Radoszkowski, 1887)"
"Neolarra vigilans (Cockerell, 1895)"
"Perdita scitula Timberlake, 1960"
"Triopasites penniger (Cockerell, 1894)"
"Triepeolus timberlakei Cockerell, 1929"
"Perdita wyomingensis segona Timberlake, 1956"
"Triepeolus bimorulus Rightmyer, 2008"
"Atoposmia rupestris (Cockerell, 1935)"
"Megachile hookeri Cockerell, 1915"
"Svastra sabinensis nubila (LaBerge, 1956)"
"Colletes lutzi lutzi"
"Osmia sanctaerosae Cockerell, 1910"
"Andrena furva Linsley & MacSwain, 1961"
"Nomada hirtiventris Schwarz, 1990"
"Osmia gaudiosa Cockerell, 1907"
"Eucera amoena (Zavortink, 1982)"
"Perdita latior Cockerell, 1896"
"Epeolus pusillus Cresson, 1864"
"Lasioglossum lampronotum McGinley, 1986"
"Gaesischia exul Michener, LaBerge & Moure, 1955"
"Stelis hurdi (Thorp, 1966)"
"Osmia hesperos Sandhouse, 1939"
"Andrena coracina LaBerge & Bouseman, 1970"
"Perdita polycarpae Timberlake, 1954"
"Perdita marcialis Cockerell, 1896"
"Perdita echinocacti Timberlake, 1954"
"Perdita thermophila trilobata Timberlake, 1962"
"Perdita albipennis albipennis"
"Megachile subanograe Mitchell, 1934"
"Osmia integra Cresson, 1878"
"Lasioglossum comulum Michener, 1951"
"Neolarra linsleyi Michener, 1939"
"Osmia conjuncta Cresson, 1864"
"Perdita interserta ciliata Timberlake, 1958"
"Hoplitis hamulicornis (Timberlake & Michener, 1950)"
"Anthophora boharti Brooks, 1988"
"Xenoglossa patricia Cockerell, 1896"
"Eucera venusta carinata (Timberlake, 1961)"
"Perdita hirticeps hirticeps"
"Osmia pusilla Cresson, 1864"
"Atoposmia hemizoniae (Cockerell, 1935)"
"Perdita oregonensis Timberlake, 1929"
"Rhopalolemma robertsi Roig-Alsina, 1991"
"Dufourea cuprea Bohart, 1948"
"Nomada utahensis Moalif, 1988"
"Sphecodes persimilis Lovell & Cockerell, 1907"
"Andrena hallii Dunning, 1898"
"Perdita indioensis Timberlake, 1960"
"Hylaeus mesillae (Cockerell, 1896)"
"Triepeolus subnitens Cockerell & Timberlake, 1929"
"Protandrena pectidis (Timberlake, 1955)"
"Atoposmia oregona (Michener, 1943)"
"Perdita phymatae Cockerell, 1895"
"Calliopsis bernardinensis Michener, 1937"
"Tetraloniella vandykei LaBerge, 2001"
"Colletes paniscus sculleni Timberlake, 1951"
"Colletes xerophilus sonoranus Timberlake, 1951"
"Stelis franciscana (Cockerell, 1925)"
"Perdita fulvicauda Timberlake, 1962"
"Andrena canadensis Dalla Torre, 1896"
"Bombus fraternus (Smith, 1854)"
"Agapostemon obliquus (Provancher, 1888)"
"Dieunomia nevadensis bakeri (Cockerell, 1898)"
"Lasioglossum potosi (McGinley, 2003)"
"Megachile ecplectica (Snelling, 1990)"
"Triepeolus rhododontus Cockerell, 1921"
"Andrena sladeni Viereck, 1924"
"Eucera tricinctella (Timberlake, 1969)"
"Lasioglossum morrilli (Cockerell, 1919)"
"Melissodes rustica (Say, 1837)"
"Megachile mucorosa Cockerell, 1908"
"Perdita innotata Timberlake, 1964"
"Dufourea linanthi Timberlake, 1939"
"Megachile pruina Smith, 1853"
"Andrena coactipostica Viereck, 1917"
"Andrena winnemuccana LaBerge, 1973"
"Hoplitis evansi (Michener, 1936)"
"Dufourea californica (Michener, 1935)"
"Micralictoides chaenactidis Bohart & Griswold, 1987"
"Andrena patagiata LaBerge, 1987"
"Hoplitis tristis (Michener, 1936)"
"Andrena gibberis Viereck, 1924"
"Xenoglossa strenua (Cresson, 1879)"
"Centris lanosa Cresson, 1872"
"Perdita chloris Timberlake, 1960"
"Andrena nubecula Smith, 1853"
"Melissodes humilior Cockerell, 1903"
"Dioxys pacifica melanogaster Hurd, 1958"
"Neolarra penicula Shanks, 1978"
"Habropoda laboriosa (Fabricius, 1804)"
"Osmia liogastra Cockerell, 1933"
"Eucera virgata (Cockerell, 1905)"
"Nomada vicinalis Cresson, 1878"
"Dufourea fimbriata sierrae (Michener, 1937)"
"Osmia francisconis White, 1952"
"Triepeolus townsendi Cockerell, 1907"
"Dufourea afasciata Bohart, 1948"
"Dianthidium parkeri Grigarick & Stange, 1964"
"Megachile instita Mitchell, 1934"
"Megachile boharti Mitchell, 1942"
"Dianthidium parvum schwarzi Timberlake, 1943"
"Megachile alamosana Mitchell, 1934"
"Epeolus gabrielis Cockerell, 1909"
"Leiopodus singularis (Linsley & Michener, 1937)"
"Nomada hemphilli Cockerell, 1903"
"Megachile occidentalis Fox, 1894"
"Osmia claremontensis Michener, 1936"
"Osmia sculleni Sandhouse, 1939"
"Lasioglossum puteulanum Gibbs"
"Lasioglossum knereri"
"Perdita polita Timberlake, 1958"
"Eucera zonata (Timberlake, 1969)"
"Stelis depressa Timberlake, 1941"
"Perdita pelargoides (Cockerell, 1916)"
"Osmia titusi Cockerell, 1905"
"Anthophorula exilis (Timberlake, 1980)"
"Perdita luculenta Timberlake, 1968"
"Perdita salicis monoensis Timberlake, 1964"
"Melissodes micheneri LaBerge, 1961"
"Anthophora albata Cresson, 1876"
"Megachile agustini Cockerell, 1905"
"Perdita salicis occidentalis Timberlake, 1964"
"Triepeolus ancoratus Cockerell, 1916"
"Nomada packardiella Cockerell, 1906"
"Centris inermis Friese, 1900"
"Osmia pentstemonis Cockerell, 1906"
"Osmia bruneri Cockerell, 1897"
"Andrena trimmerana (Kirby, 1802)"
"Perdita excellens Timberlake, 1958"
"Stelis hemirhoda Linsley, 1939"
"Perdita solitaria Cockerell, 1897"
"Eucera speciosa (Cresson, 1879)"
"Melissodes communis communis"
"Hoplitis palmarum (Cockerell, 1935)"
"Megachile maurata Mitchell, 1936"
"Ashmeadiella biscopula Michener, 1939"
"Anthophorula nevadensis (Timberlake, 1980)"
"Perdita scopata Timberlake, 1953"
"Stelis anthracina Timberlake, 1941"
"Coelioxys mitchelli Baker, 1975"
"Svastra machaerantherae (Cockerell, 1904)"
"Andrena sigmundi Cockerell, 1902"
"Anthophorula scapalis (Timberlake, 1980)"
"Colletes willistoni Robertson, 1891"
"Dufourea campanulae (Cockerell, 1897)"
"Dufourea vanduzeei Bohart, 1947"
"Andrena erythrogaster (Ashmead, 1890)"
"Diadasia palmarum Timberlake, 1940"
"Nomada obliterata Cresson, 1863"
"Eucera phaceliae (Cockerell, 1911)"
"Perdita luciae decora Timberlake, 1964"
"Triepeolus perpictus Rightmyer, 2008"
"Andrena semirufa Cockerell, 1900"
"Andrena opacella Timberlake, 1951"
"Andrena heterodoxa Cockerell, 1930"
"Perdita calochorti Timberlake, 1956"
"Bombus funebris Smith, 1854"
"Lasioglossum rufornatum Gardner & Gibbs, 2020"
"Megachile petulans Cresson, 1878"
"Andrena cleodora cleodora"
"Osmia tersula Cockerell, 1912"
"Andrena pertristis Cockerell, 1905"
"Perdita colei Timberlake, 1962"
"Perdita fallax Cockerell, 1896"
"Hylaeus transvittatus (Cockerell, 1917)"
"Perdita stephanomeriae Timberlake, 1954"
"Ashmeadiella digiticauda Cockerell, 1924"
"Augochlora pura (Say, 1837)"
"Nomada sayi Robertson, 1893"
"Perdita bellula Timberlake, 1954"
"Neopasites timberlakei (Linsley, 1943)"
"Hoplitis linsdalei Michener, 1947"
"Pseudopanurgus verticalis Timberlake, 1967"
"Perdita heliotropii heliotropii"
"Anthophorula parva (Timberlake, 1980)"
"Pseudopanurgus tomentosus Timberlake, 1973"
"Melissodes gilensis gilensis"
"Triepeolus lunatus (Say, 1824)"
"Anthophora peritomae Cockerell, 1905"
"Megachile legalis Cresson, 1879"
"Perdita flaviceps Timberlake, 1960"
"Perdita crotonis crotonis"
"Protandrena pauper (Cresson, 1878)"
"Osmia hendersoni Cockerell, 1907"
"Eucera hurdi (Timberlake, 1969)"
"Nomada crotchii nigrior Cockerell, 1903"
"Pseudopanurgus dicksoni Timberlake, 1967"
"Nomada scita Cresson, 1878"
"Calliopsis rhodophila Cockerell, 1897"
"Anthophora vallorum (Cockerell, 1896)"
"Anthophorula sidae (Cockerell, 1897)"
"Lasioglossum bicallosum (Morawitz, 1874)"
"Melecta separata arizonica (Cockerell, 1902)"
"Nomada articulata Smith, 1854"
"Hoplitis paroselae Michener, 1947"
"Melissodes comata LaBerge, 1961"
"Perdita percincta Timberlake, 1968"
"Calliopsis callosa (Timberlake, 1952)"
"Dianthidium dubium dubium"
"Triepeolus matildae"
"Perdita trisignata trisignata"
"Nomada pyrrha Cockerell, 1916"
"Andrena davidsoni Viereck & Cockerell, 1914"
"Melissodes timberlakei Cockerell, 1926"
"Nomada avalonica Cockerell, 1938"
"Nomada fragilis mesosticta Cockerell, 1939"
"Melissodes intermediella catalinensis Cockerell, 1905"
"Lipotriches dimissa (Cockerell, 1921)"
"Bombus lapponicus (Fabricius, 1793)"
"Bombus rotundiceps Friese, 1916"
"Bombus ashtoni (Cresson, 1864)"
"Triepeolus simplex Robertson, 1903"
"Brachymelecta larreae (Cockerell, 1900)"
"Megandrena larreae Timberlake, 1951"
"Andrena blandula Timberlake, 1951"
"Nomada latifrons Cockerell, 1903"
"Nomada rhodosoma Cockerell, 1903"
"Osmia tanneri Sandhouse, 1939"
"Nomada melanosoma Cockerell, 1916"
"Proteriades shoshone Parker, 1976"
"Proteriades torchioi Parker, 1979"
"Megachile addenda Cresson, 1878"
"Osmia tarsata Provancher, 1888"
"Osmia inurbana Cresson, 1878"
"Osmia exigua Cresson, 1878"
"Osmia enixa Sandhouse, 1924"
"Lasioglossum tegulare (Robertson, 1890)"
"Melissodes tepida timberlake Cockerell, 1926"
"Andrena gnaphalii (Cockerell, 1938)"
"Melissodes lustrus LaBerge, 1961"
"Lasioglossum pavoninum (Ellis, 1913)"
"Megachile anograe Cockerell, 1908"
"Calliopsis empelia Shinn, 1967"
"Colletes deserticola Timberlake, 1951"
"Mesoxaea nigerrima (Friese, 1912)"
"Perdita nevadensis nevadensis"
"Epeolus mesillae palmarum Linsley, 1939"
"Perdita tristella Timberlake, 1954"
"Lasioglossum athabascense (Sandhouse, 1933)"
"Calliopsis persimilis (Cockerell, 1900)"
"Perdita gentilis Timberlake, 1962"
"Zacosmia maculata maculata"
"Xenoglossa mustelina (Fox, 1893)"
"Melissodes fasciatella LaBerge, 1961"
"Perdita bequaerti indianensis Cockerell, 1922"
"Andrena errans Smith, 1879"
"Perdita gutierreziae Cockerell, 1896"
"Hesperapis rodecki Cockerell, 1934"
"Anthophora californica albomarginata Timberlake, 1937"
"Perdita claypolei australior Timberlake, 1962"
"Triepeolus punctoclypeus Rightmyer, 2008"
"Melissodes montana Cresson, 1879"
"Megachile laurita Mitchell, 1927"
"Dufourea marginata (Cresson, 1878)"
"Perdita zonalis Cresson, 1879"
"Ceratina hurdi Daly, 1973"
"Osmia morongana Cockerell, 1937"
"Perdita albihirta albihirta"
"Perdita tortifoliae Cockerell, 1906"
"Epeolus scutellaris Say, 1824"
"Megachile townsendiana Cockerell, 1898"
"Anthophorula tricinctula (Timberlake, 1980)"
"Trachusa zebrata (Cresson, 1872)"
"Perdita tortifoliae fremonti Timberlake, 1964"
"Perdita omani Timberlake, 1964"
"Sphecodes dichrous Smith, 1853"
"Nomadopsis edwardsii (Cresson, 1878)"
"Colletes nudus Robertson, 1898"
"Melissodes pallidisignatus Cockerell, 1905"
"Andrena subaustraliformis Viereck & Cockerell, 1914"
"Melissodes tessellatus LaBerge, 1956"
"Andrena rubrotincta Linsley, 1938"
"Xylocopa virginica virginica"
"Andrena camissoniae Linsley & MacSwain, 1968"
"Nomada vincta Say, 1837"
"Andrena avulsa LaBerge & Ribble, 1972"
"Bombus norvegicus (Sparre-Schneider, 1918)"
"Bremus caliginosus Frison, 1927"
"Psithyrus insularis (Smith, 1861)"
"Melissodes pecosella Cockerell, 1905"
"Psithyrus crawfordi Franklin, 1913"
"Calliopsis australior Cockerell, 1897"
"Perdita californica californica"
"Bremus fervidus (Fabricius, 1798)"
"Perdita thermophila thermophila"
"Lasioglossum oleosum (Cockerell, 1898)"
"Bombus separatus Cresson, 1863"
"Bombus nevadensis auricomus (Robertson, 1903)"
"Calliopsis subalpinus Cockerell, 1894"
"Holcopasites arizonicus (Linsley, 1942)"
"Bremus rufocinctus (Cresson, 1864)"
"Lasioglossum pallidellum (Ellis, 1914)"
"Nomada fragilis fragilis"
"Emphoropsis cineraria (Smith, 1879)"
"Megachile dentitarsus Sladen, 1919"
"Lithurgus chrysurus Fonscolombe, 1834"
"Bombus sandersoni Franklin, 1913"
"Apis mellifera scutellata Lepeletier, 1836"
"Lasioglossum tracyi (Cockerell, 1936)"
"Osmia georgica Cresson, 1878"
"Melissodes subillata LaBerge, 1961"
"Eucera atriventris (Smith, 1854)"
"Apis mellifera ligustica Spinola, 1806"
"Epeolus howardi Mitchell, 1962"
"Chelostoma incisulum Michener, 1938"
"Megachile chelostomoides Gribodo, 1894"
"Nomada albidemaculata Lozinski, 1922"
"Megachile brimleyi Mitchell, 1926"
"Megachile angularis Mitchell, 1930"
"Megachile campanulae (Robertson, 1903)"
"Megachile browni Mitchell, 1934"
"Tetralonia poetica Cockerell, 1914"
"Dianthidium arizonicum Rohwer, 1916"
"Agapostemon splendens (Lepeletier, 1841)"
"Perdita munda Timberlake, 1958"
"Eucera territella (Cockerell, 1905)"
"Dioxys producta (Cresson, 1879)"
"Melecta alexanderi Griswold & Parker, 1999"
"Osmia cordata Robertson, 1902"
"Perdita ignota Cockerell, 1896"
"Perdita idonea Timberlake, 1968"
"Sphecodes levis Lovell & Cockerell, 1907"
"Nomada luteoloides Robertson, 1895"
"Osmia nigriventris (Zetterstedt, 1838)"
"Colletes simulans Cresson, 1868"
"Perdita hypoxantha Cockerell, 1914"
"Andrena vexabilis Timberlake, 1951"
"Perdita exigua becki Timberlake, 1971"
"Nomada erythrospila Cockerell, 1916"
"Osmia lacus Sandhouse, 1939"
"Triepeolus helianthi arizonensis Cockerell, 1904"
"Triepeolus tanneri Cockerell, 1928"
"Bombomelecta arizonica Cockerell, 1902"
"Perdita trifida Timberlake, 1960"
"Osmia crassa Rust & Bohart, 1986"
"Nomada tintinnabulum Cockerell, 1903"
"Spinoliella euphorbiae Cockerell, 1925"
"Panurginus morrisoni Crawford, 1926"
"Perdita flavifrons Timberlake, 1968"
"Diandrena puthua Cockerell, 1910"
"Ashmeadiella leachi Michener, 1949"
"Osmia proxima Cresson, 1864"
"Lasioglossum glabriventre (Crawford, 1907)"
"Andrena neurona Viereck, 1904"
"Calliopsis anthidia anthidia"
"Andrena opacissima Cockerell, 1918"
"Perdita koebelei koebelei"
"Osmia plathycera Gerstäcker, 1869"
"Bombus medius Cresson, 1864"
"Nomada osborni Cockerell, 1911"
"Perdita baccharidis Cockerell, 1900"
"Perdita salicis hirsutior Timberlake, 1964"
"Megachile sabinensis Mitchell, 1934"
"Triepeolus mexicanus (Cresson, 1878)"
"Svastra texana (Cresson, 1872)"
"Dianthidium discors Timberlake, 1948"
"Osmia marginata Michener, 1936"
"Nomia heterodoxa Cockerell, 1944"
"Anthidiellum eiseni (Cockerell, 1913)"
"Eucera angustior"
"Ancyloscelis sejunctus Cockerell, 1933"
"Anthidium pallidiclypeum Jaycox, 1963"
"Calliopsis callops (Cockerell & Porter, 1899)"
"Bombus steindachneri Handlirsch, 1888"
"Perdita octomaculata (Say, 1824)"
"Osmia nana Morawitz, 1873"
"Halictus petraeus Blüthgen, 1933"
"Anthophora corvicolor Cockerell, 1905"
"Andrena californica Timberlake, 1951"
"Nomada sanctaecrucis Cockerell, 1903"
"Caupolicana yarrowi (Cresson, 1875)"
"Lasioglossum robustum (Crawford, 1907)"
"Anthophora catalinae Cockerell, 1901"
"Andrena hicksi Cockerell, 1925"
"Andrena montrosensis Viereck & Cockerell, 1914"
"Anthophorula cornigera (Cockerell, 1922)"
"Anthophorula crenulata (Timberlake, 1980)"
"Ashmeadiella pronitens (Cockerell, 1906)"
"Ashmeadiella vandykiella Michener, 1949"
"Ashmeadiella holtii Cockerell, 1898"
"Ashmeadiella hurdiana (Michener, 1954)"
"Andrena topazana Cockerell, 1906"
"Andrena utahensis LaBerge, 1967"
"Andrena hirticincta Provancher, 1888"
"Andrena blennospermatis Thorp, 1969"
"Andrena omninigra omninigra"
"Atoposmia daleae (Michener, 1951)"
"Atoposmia namatophila (Michener, 1954)"
"Calliopsis smithi (Rozen, 1958)"
"Calliopsis philiphunteri Shinn & Engel, 2003"
"Calliopsis scitula scitula"
"Calliopsis scutellaris Fowler, 1899"
"Calliopsis cincta cincta"
"Centris eisenii Fox, 1893"
"Ceratina timberlakei Daly, 1973"
"Chelostoma cockerelli Michener, 1938"
"Coelioxys porterae Cockerell, 1900"
"Coelioxys sayi Robertson, 1897"
"Coelioxys slossoni Viereck, 1902"
"Colletes consors consors"
"Colletes paniscus mertensiae Timberlake, 1951"
"Colletes xerophilus cismontanus Timberlake, 1951"
"Colletes lutzi Timberlake, 1943"
"Colletes simulans simulans"
"Dianthidium marshi Grigarick & Stange, 1964"
"Dianthidium parvum parvum"
"Triepeolus norae Cockerell, 1907"
"Triepeolus grandis (Friese, 1917)"
"Triepeolus lestes Cockerell, 1921"
"Dufourea fallugiae (Cockerell, 1906)"
"Dufourea harveyi Cresson, 1878"
"Dufourea longiceps Bohart, 1948"
"Dufourea neovernalis Bohart, 1980"
"Dufourea pulchricornis (Cockerell, 1916)"
"Dufourea sparsipunctata Bohart, 1980"
"Dufourea timberlakei Bohart, 1947"
"Dufourea versatilis (Bridwell, 1919)"
"Eucera dorsata (Timberlake, 1969)"
"Exomalopsis similis similis"
"Heriades micropthalma Michener, 1954"
"Heriades timberlakei Michener, 1938"
"Hesperapis oliviae (Cockerell, 1897)"
"Hoplitis paiute (Griswold, 1983)"
"Hoplitis elongaticeps Michener, 1947"
"Hoplitis robusta (Nylander, 1848)"
"Hoplitis torchioi (Parker, 1979)"
"Hylaeus bisinuatus Förster, 1871"
"Hylaeus fedorica (Cockerell, 1909)"
"Hylaeus granulatus (Metz, 1911)"
"Lasioglossum aliud (Sandhouse, 1924)"
"Lasioglossum pilosum (Smith, 1853)"
"Lasioglossum veganum (Cockerell, 1901)"
"Lasioglossum clarissimum (Ellis, 1914)"
"Lasioglossum hudsoniellum (Cockerell, 1919)"
"Lasioglossum hunteri (Cockerell, 1932)"
"Lithurgus listrotus (Snelling, 1983)"
"Macropis nuda (Provancher, 1882)"
"Macrotera mortuaria (Timberlake, 1954)"
"Macrotera tristella (Timberlake, 1954)"
"Megachile rossi Mitchell, 1943"
"Megachile texensis Mitchell, 1956"
"Megachile stoddardensis Mitchell, 1957"
"Megachile astragali Mitchell, 1938"
"Megachile casadae Cockerell, 1898"
"Megachile azteca Cresson, 1878"
"Melecta pacifica pacifica"
"Melecta separata separata"
"Melissodes opuntiella Cockerell, 1911"
"Neolarra verbesinae (Cockerell, 1895)"
"Nomada crotchii crotchii"
"Nomada rhodalis Cockerell, 1903"
"Nomada opacella Timberlake, 1954"
"Nomada hesperia Cockerell, 1903"
"Nomada gutierreziae Cockerell, 1896"
"Nomada putnami Cresson, 1876"
"Nomada collinsiana Cockerell, 1905"
"Nomada cressonii Robertson, 1893"
"Nomada obscurella Fowler, 1902"
"Osmia foxi Cameron, 1901"
"Osmia bella Cresson, 1878"
"Osmia ednae Cockerell, 1907"
"Osmia giliarum Cockerell, 1906"
"Osmia unca Michener, 1937"
"Osmia cahuilla Cooper, 1993"
"Osmia cockerelli Sandhouse, 1939"
"Osmia hemera Sandhouse, 1939"
"Osmia inermis (Zetterstedt, 1838)"
"Osmia iridis Cockerell & Titus, 1902"
"Osmia lupinicola Cockerell, 1937"
"Osmia paradisica Sandhouse, 1924"
"Osmia prunorum Cockerell, 1897"
"Osmia rawlinsi Sandhouse, 1939"
"Osmia vandykei Sandhouse, 1924"
"Osmia zephyros Sandhouse, 1939"
"Perdita albipennis Cresson, 1868"
"Perdita albihirta Timberlake, 1954"
"Perdita albipennis heliophila Cockerell, 1916"
"Perdita heterothecae heterothecae"
"Perdita amoena Timberlake, 1956"
"Perdita sexmaculata Cockerell, 1895"
