"scientificName"
"Melissodes lutulenta LaBerge, 1961"
"Andrena cerasifolii Cockerell, 1896"
"Lasioglossum egregium (Vachal, 1904)"
"Perdita media Timberlake, 1960"
"Melissodes paulula LaBerge, 1961"
"Andrena accepta Viereck, 1916"
"Dufourea spilura (Cockerell, 1925)"
"Ashmeadiella cazieri Michener, 1939"
"Dufourea mulleri (Cockerell, 1898)"
"Andrena subtilis Smith, 1879"
"Perdita arcuata dinognatha Cockerell, 1922"
"Perdita leucostoma Timberlake, 1956"
"Anthophora forbesi Cockerell, 1907"
"Hoplitis producta (Cresson, 1864)"
"Ceratina arizonensis Cockerell, 1898"
"Perdita punctifera Cockerell, 1914"
"Osmia coloradensis Cresson, 1878"
"Perdita trimaculata Timberlake, 1960"
"Trachusa bequaerti (Schwarz, 1926)"
"Calliopsis hesperia (Swenk & Cockerell, 1907)"
"Anthidium utahense Swenk, 1914"
"Melissodes paroselae Cockerell, 1905"
"Svastra texana eluta (LaBerge, 1956)"
"Perdita lateralis daleae Timberlake, 1962"
"Perdita punctulata Timberlake, 1958"
"Perdita ciliata Timberlake, 1958"
"Perdita luciae Cockerell, 1899"
"Perdita heliotropii perducta Timberlake, 1958"
"Perdita ignota ignota"
"Trachusa perdita Cockerell, 1904"
"Melissodes tepida yumensis LaBerge, 1956"
"Hesperapis pellucida Cockerell, 1925"
"Nomia melanderi Cockerell, 1906"
"Atoposmia panamintensis (Michener, 1943)"
"Ancylandrena larreae (Timberlake, 1951)"
"Andrena concinnula (Cockerell, 1898)"
"Calliopsis scutellaris scutellaris"
"Anthophorula albata (Timberlake, 1947)"
"Perdita timberlakei Cockerell, 1925"
"Andrena pertristis pertristis"
"Townsendiella pulchra Crawford, 1916"
"Epeolus mesillae (Cockerell, 1895)"
"Megachile relativa Cresson, 1878"
"Osmia cyanopoda Cockerell, 1916"
"Melissodes tristis Cockerell, 1894"
"Andrena miserabilis Cresson, 1872"
"Anthidium cockerelli Schwarz, 1928"
"Andrena isocomae Timberlake, 1951"
"Megandrena enceliae (Cockerell, 1927)"
"Megachile nevadensis Cresson, 1879"
"Osmia rostrata Sandhouse, 1924"
"Perdita montereyensis Timberlake, 1956"
"Perdita viridicollis Timberlake, 1971"
"Perdita salicis imperialis Cockerell, 1925"
"Nomada formula Viereck, 1902"
"Anthophorula deserticola (Timberlake, 1947)"
"Ashmeadiella aridula Cockerell, 1910"
"Perdita minima Cockerell, 1923"
"Hoplitis biscutellae (Cockerell, 1897)"
"Osmia texana Cresson, 1872"
"Perdita punctosignata Cockerell, 1895"
"Andrena salicifloris Cockerell, 1897"
"Perdita trisignata Cockerell, 1896"
"Andrena vicinoides Viereck, 1904"
"Ashmeadiella bigeloviae (Cockerell, 1897)"
"Melissodes ochraea LaBerge, 1961"
"Melissodes subagilis Cockerell, 1905"
"Hesperapis larreae Cockerell, 1907"
"Atoposmia triodonta (Cockerell, 1935)"
"Eucera frater frater"
"Panurginus nigrihirtus Michener, 1936"
"Heriades cressoni Michener, 1938"
"Perdita covilleae Timberlake, 1958"
"Melissodes clarkiae LaBerge, 1961"
"Protodufourea eickworti Bohart & Griswold, 1997"
"Perdita xerophila fuscicornis Timberlake, 1962"
"Conanthalictus mentzeliae Timberlake, 1961"
