"","scientificName","WKT","institutionCode","basisOfRecord","occurrenceID","catalogNumber","eventDate","year","month","day","georeferenceVerificationStatus","kingdom","phylum","class","order","family","scientific_name","subgenus","accepted_name","decimalLatitude","decimalLongitude"
"416","Hesperapis pellucida Cockerell, 1925","POINT (-115.4486 35.27111)","KU","PRESERVED_SPECIMEN","1c224083-1ed6-11e3-bfac-90b11c41863e","415221","1983-04-01T00:00:00",1983,4,1,"","Animalia","Arthropoda","Insecta","Hymenoptera","Melittidae","Hesperapis pellucida",NA,"Hesperapis pellucida",35.27111,-115.4486
"417","Micralictoides chaenactidis Bohart & Griswold, 1987","POINT (-115.4486 35.27111)","KU","PRESERVED_SPECIMEN","40f13d9f-1ed6-11e3-bfac-90b11c41863e","233276","1970-05-20T00:00:00",1970,5,20,"","Animalia","Arthropoda","Insecta","Hymenoptera","Halictidae","Micralictoides chaenactidis",NA,"Micralictoides chaenactidis",35.27111,-115.4486
"418","Ashmeadiella difugita Michener, 1939","POINT (-118.0619 36.60611)","KU","PRESERVED_SPECIMEN","1e7ab40c-1ed6-11e3-bfac-90b11c41863e","460131","1937-06-11T00:00:00",1937,6,11,"","Animalia","Arthropoda","Insecta","Hymenoptera","Megachilidae","Ashmeadiella difugita",NA,"Ashmeadiella difugita",36.60611,-118.0619
"419","Osmia physariae Cockerell, 1907","POINT (-117.45 34.95)","KU","PRESERVED_SPECIMEN","3f2d5960-1ed6-11e3-bfac-90b11c41863e","463337","1936-05-16T00:00:00",1936,5,16,"","Animalia","Arthropoda","Insecta","Hymenoptera","Megachilidae","Osmia physariae",NA,"Osmia physariae",34.95,-117.45
"420","Hoplitis grinnelli (Cockerell, 1910)","POINT (-118.0259 36.60611)","KU","PRESERVED_SPECIMEN","17dd85bb-1ed6-11e3-bfac-90b11c41863e","292554","1970-05-19T00:00:00",1970,5,19,"","Animalia","Arthropoda","Insecta","Hymenoptera","Megachilidae","Hoplitis grinnelli",NA,"Hoplitis grinnelli",36.60611,-118.0259
"421","Stelis hemirhoda Linsley, 1939","POINT (-116.6633 36.19111)","KU","PRESERVED_SPECIMEN","1b7d4079-1ed6-11e3-bfac-90b11c41863e","499314","1939-04-08T00:00:00",1939,4,8,"","Animalia","Arthropoda","Insecta","Hymenoptera","Megachilidae","Stelis hemirhoda",NA,"Stelis hemirhoda",36.19111,-116.6633
"422","Eucera albescens (Timberlake, 1969)","POINT (-115.416667 35.166667)","KU","PRESERVED_SPECIMEN","5012cea7-e627-4e35-a555-fcc04450e82d","741230","1954-05-12T00:00:00",1954,5,12,"","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Eucera albescens",NA,"Eucera albescens",35.166667,-115.416667
"423","Melecta bohartorum Linsley, 1939","POINT (-117.585 34.99444)","KU","PRESERVED_SPECIMEN","e4753275-7a54-43b4-b711-95b861618cdc","1442280","1964-04-11T00:00:00",1964,4,11,"","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Melecta bohartorum",NA,"Melecta bohartorum",34.99444,-117.585
"424","Perdita amplipennis Timberlake, 1962","POINT (-117.1764 36.29278)","KU","PRESERVED_SPECIMEN","1ac36490-1ed6-11e3-bfac-90b11c41863e","410819","1937-06-01T00:00:00",1937,6,1,"","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Perdita amplipennis",NA,"Perdita amplipennis",36.29278,-117.1764
"425","Megachile casadae Cockerell, 1898","POINT (-115.607111 34.850694)","iNaturalist","HUMAN_OBSERVATION","https://www.inaturalist.org/observations/87629107","87629107","2005-05-11T17:13:00",2005,5,11,"","Animalia","Arthropoda","Insecta","Hymenoptera","Megachilidae","Megachile casadae",NA,"Megachile casadae",34.850694,-115.607111
"426","Perdita salicis hirsutior Timberlake, 1964","POINT (-118.006 36.2819)","USNM","PRESERVED_SPECIMEN","http://n2t.net/ark:/65665/3d45e0b69-396a-4b89-95e9-d23e1fa39a3d","USNM 532843","1927-05-02T00:00:00",1927,5,2,"","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Perdita salicis",NA,"Perdita salicis",36.2819,-118.006
"427","Lasioglossum abundipunctum Gibbs, 2010","POINT (-116 36)","USDA-ARS","PRESERVED_SPECIMEN","658525313","BBSL290766","",NA,NA,NA,"","Animalia","Arthropoda","Insecta","Hymenoptera","Halictidae","Lasioglossum abundipunctum",NA,"Lasioglossum abundipunctum",36,-116
"428","Andrena illustris LaBerge, 1977","POINT (-118.0639 34.5434)","USDA-ARS","PRESERVED_SPECIMEN","658537824","166396","1967-03-20T00:00:00",1967,3,20,"","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Andrena illustris",NA,"Andrena illustris",34.5434,-118.0639
"429","Andrena livida LaBerge, 1977","POINT (-115 35)","USDA-ARS","PRESERVED_SPECIMEN","658537879","BBSL282909","",NA,NA,NA,"","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Andrena livida",NA,"Andrena livida",35,-115
"430","Andrena semipunctata Cockerell, 1902","POINT (-116.05 34.20833)","USDA-ARS","PRESERVED_SPECIMEN","658540857","BBSL194220","1938-04-14T00:00:00",1938,4,14,"","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Andrena semipunctata",NA,"Andrena semipunctata",34.20833,-116.05
"431","Anthophora flavocincta Huard, 1897","POINT (-115 35)","USDA-ARS","PRESERVED_SPECIMEN","658558470","100306","",NA,NA,NA,"","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Anthophora flavocincta",NA,"Anthophora flavocincta",35,-115
"432","Anthophora maculifrons Cresson, 1879","POINT (-115 35)","USDA-ARS","PRESERVED_SPECIMEN","658559361","105022","",NA,NA,NA,"","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Anthophora maculifrons",NA,"Anthophora maculifrons",35,-115
"433","Anthophora mortuaria Timberlake, 1937","POINT (-116.87088 36.458)","USDA-ARS","PRESERVED_SPECIMEN","658559541","BBSL504524","1956-04-27T00:00:00",1956,4,27,"","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Anthophora mortuaria",NA,"Anthophora mortuaria",36.458,-116.87088
"434","Anthophora fulvicauda Timberlake, 1937","POINT (-115 35)","USDA-ARS","PRESERVED_SPECIMEN","658572221","BBSL669340","",NA,NA,NA,"","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Anthophora fulvicauda",NA,"Anthophora fulvicauda",35,-115
"435","Anthophora lesquerellae (Cockerell, 1896)","POINT (-116 36)","USDA-ARS","PRESERVED_SPECIMEN","658572591","BBSL270439","",NA,NA,NA,"","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Anthophora lesquerellae",NA,"Anthophora lesquerellae",36,-116
"436","Anthophorula eriogoni (Timberlake, 1947)","POINT (-115 35)","USDA-ARS","PRESERVED_SPECIMEN","658574535","101804","",NA,NA,NA,"","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Anthophorula eriogoni",NA,"Anthophorula eriogoni",35,-115
"437","Anthophorula palmarum (Timberlake, 1947)","POINT (-116 36)","USDA-ARS","PRESERVED_SPECIMEN","658574715","BBSL296702","",NA,NA,NA,"","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Anthophorula palmarum",NA,"Anthophorula palmarum",36,-116
"438","Ashmeadiella clypeodentata Michener, 1936","POINT (-116.0369 34.1258)","USDA-ARS","PRESERVED_SPECIMEN","658583085","BBSL254946","1970-05-20T00:00:00",1970,5,20,"","Animalia","Arthropoda","Insecta","Hymenoptera","Megachilidae","Ashmeadiella clypeodentata",NA,"Ashmeadiella clypeodentata",34.1258,-116.0369
"439","Ashmeadiella leachi Michener, 1949","POINT (-117.36 36.94)","USDA-ARS","PRESERVED_SPECIMEN","658583328","70784","1993-04-16T00:00:00",1993,4,16,"","Animalia","Arthropoda","Insecta","Hymenoptera","Megachilidae","Ashmeadiella leachi",NA,"Ashmeadiella leachi",36.94,-117.36
"440","Ashmeadiella stenognatha Michener, 1939","POINT (-116 35)","USDA-ARS","PRESERVED_SPECIMEN","658583625","100607","",NA,NA,NA,"","Animalia","Arthropoda","Insecta","Hymenoptera","Megachilidae","Ashmeadiella stenognatha",NA,"Ashmeadiella stenognatha",35,-116
"441","Ashmeadiella timberlakei Michener, 1936","POINT (-116 36)","USDA-ARS","PRESERVED_SPECIMEN","658583805","BBSL670589","",NA,NA,NA,"","Animalia","Arthropoda","Insecta","Hymenoptera","Megachilidae","Ashmeadiella timberlakei",NA,"Ashmeadiella timberlakei",36,-116
"442","Ashmeadiella foveata Michener, 1939","POINT (-116 35)","USDA-ARS","PRESERVED_SPECIMEN","658591824","107345","",NA,NA,NA,"","Animalia","Arthropoda","Insecta","Hymenoptera","Megachilidae","Ashmeadiella foveata",NA,"Ashmeadiella foveata",35,-116
"443","Ashmeadiella leucozona Cockerell, 1924","POINT (-116 36)","USDA-ARS","PRESERVED_SPECIMEN","658593066","BBSL281112","",NA,NA,NA,"","Animalia","Arthropoda","Insecta","Hymenoptera","Megachilidae","Ashmeadiella leucozona",NA,"Ashmeadiella leucozona",36,-116
"444","Ashmeadiella opuntiae (Cockerell, 1897)","POINT (-115 35)","USDA-ARS","PRESERVED_SPECIMEN","658594335","BBSL289650","",NA,NA,NA,"","Animalia","Arthropoda","Insecta","Hymenoptera","Megachilidae","Ashmeadiella opuntiae",NA,"Ashmeadiella opuntiae",35,-115
"445","Ashmeadiella parkinsoniae Parker, 1977","POINT (-116 35)","USDA-ARS","PRESERVED_SPECIMEN","658595262","100076","",NA,NA,NA,"","Animalia","Arthropoda","Insecta","Hymenoptera","Megachilidae","Ashmeadiella parkinsoniae",NA,"Ashmeadiella parkinsoniae",35,-116
"446","Ashmeadiella rhodognatha Cockerell, 1924","POINT (-116.05 34.20833)","USDA-ARS","PRESERVED_SPECIMEN","658596117","KWC0004667","1984-05-08T00:00:00",1984,5,8,"","Animalia","Arthropoda","Insecta","Hymenoptera","Megachilidae","Ashmeadiella rhodognatha",NA,"Ashmeadiella rhodognatha",34.20833,-116.05
"447","Ashmeadiella rufitarsis Michener, 1939","POINT (-116 35)","USDA-ARS","PRESERVED_SPECIMEN","658596432","111506","",NA,NA,NA,"","Animalia","Arthropoda","Insecta","Hymenoptera","Megachilidae","Ashmeadiella rufitarsis",NA,"Ashmeadiella rufitarsis",35,-116
"448","Ashmeadiella holtii Cockerell, 1898","POINT (-116 36)","USDA-ARS","PRESERVED_SPECIMEN","658597297","BBSL281122","",NA,NA,NA,"","Animalia","Arthropoda","Insecta","Hymenoptera","Megachilidae","Ashmeadiella holtii",NA,"Ashmeadiella holtii",36,-116
"449","Andrena perarmata Cockerell, 1898","POINT (-117.4275 34.3258)","USDA-ARS","PRESERVED_SPECIMEN","658616862","164700","1936-04-12T00:00:00",1936,4,12,"","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Andrena perarmata",NA,"Andrena perarmata",34.3258,-117.4275
"450","Andrena sphaeralceae Linsley, 1939","POINT (-115 35)","USDA-ARS","PRESERVED_SPECIMEN","658618130","BBSL281844","",NA,NA,NA,"","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Andrena sphaeralceae",NA,"Andrena sphaeralceae",35,-115
"451","Andrena aurihirta Donovan, 1977","POINT (-118.0123 36.5748)","USDA-ARS","PRESERVED_SPECIMEN","658619652","BBSL174980","1987-09-23T00:00:00",1987,9,23,"","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Andrena aurihirta",NA,"Andrena aurihirta",36.5748,-118.0123
"452","Andrena puthua (Cockerell, 1910)","POINT (-117.9859 35.1258)","USDA-ARS","PRESERVED_SPECIMEN","658622432","BBSL186081","1967-03-25T00:00:00",1967,3,25,"","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Andrena puthua",NA,"Andrena puthua",35.1258,-117.9859
"453","Andrena chlorura Cockerell, 1916","POINT (-117.4275 34.3258)","USDA-ARS","PRESERVED_SPECIMEN","658623143","BBSL186564","1936-04-13T00:00:00",1936,4,13,"","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Andrena chlorura",NA,"Andrena chlorura",34.3258,-117.4275
"454","Andrena cressonii infasciata Lanham, 1949","POINT (-118.06 36.6)","USDA-ARS","PRESERVED_SPECIMEN","658624467","BBSL187020","1937-05-24T00:00:00",1937,5,24,"","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Andrena cressonii",NA,"Andrena cressonii",36.6,-118.06
"455","Andrena impolita LaBerge, 1987","POINT (-116 35)","USDA-ARS","PRESERVED_SPECIMEN","658626609","99982","",NA,NA,NA,"","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Andrena impolita",NA,"Andrena impolita",35,-116
"456","Andrena piperi Viereck, 1904","POINT (-118.13673 34.69804)","USDA-ARS","PRESERVED_SPECIMEN","658629651","BBSL189376","1936-04-10T00:00:00",1936,4,10,"","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Andrena piperi",NA,"Andrena piperi",34.69804,-118.13673
"457","Andrena linsleyi Timberlake, 1937","POINT (-116 35)","USDA-ARS","PRESERVED_SPECIMEN","658631423","101048","",NA,NA,NA,"","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Andrena linsleyi",NA,"Andrena linsleyi",35,-116
"458","Andrena atypica (Cockerell, 1941)","POINT (-117.9837 34.5211)","USDA-ARS","PRESERVED_SPECIMEN","658631955","BBSL189875","1936-04-11T00:00:00",1936,4,11,"","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Andrena atypica",NA,"Andrena atypica",34.5211,-117.9837
"459","Andrena prunorum prunorum","POINT (-115 35)","USDA-ARS","PRESERVED_SPECIMEN","658632648","BBSL289430","",NA,NA,NA,"","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Andrena prunorum",NA,"Andrena prunorum",35,-115
"460","Atoposmia pycnognatha (Michener, 1943)","POINT (-115 35)","USDA-ARS","PRESERVED_SPECIMEN","658634998","BBSL289678","",NA,NA,NA,"","Animalia","Arthropoda","Insecta","Hymenoptera","Megachilidae","Atoposmia pycnognatha",NA,"Atoposmia pycnognatha",35,-115
"461","Atoposmia hypostomalis (Michener, 1949)","POINT (-115 35)","USDA-ARS","PRESERVED_SPECIMEN","658635492","105827","",NA,NA,NA,"","Animalia","Arthropoda","Insecta","Hymenoptera","Megachilidae","Atoposmia hypostomalis",NA,"Atoposmia hypostomalis",35,-115
"462","Atoposmia mirifica (Michener, 1954)","POINT (-116 35)","USDA-ARS","PRESERVED_SPECIMEN","658635573","105803","",NA,NA,NA,"","Animalia","Arthropoda","Insecta","Hymenoptera","Megachilidae","Atoposmia mirifica",NA,"Atoposmia mirifica",35,-116
"463","Calliopsis chlorops Cockerell, 1899","POINT (-116 36)","USDA-ARS","PRESERVED_SPECIMEN","658703469","BBSL530685","",NA,NA,NA,"","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Calliopsis chlorops",NA,"Calliopsis chlorops",36,-116
"464","Calliopsis pectidis Shinn, 1965","POINT (-115 35)","USDA-ARS","PRESERVED_SPECIMEN","658703630","105435","",NA,NA,NA,"","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Calliopsis pectidis",NA,"Calliopsis pectidis",35,-115
"465","Calliopsis foleyi (Timberlake, 1952)","POINT (-115.64558 34.87988)","USDA-ARS","PRESERVED_SPECIMEN","658704891","101417","1980-05-02T00:00:00",1980,5,2,"","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Calliopsis foleyi",NA,"Calliopsis foleyi",34.87988,-115.64558
"466","Calliopsis nigromaculata (Timberlake, 1952)","POINT (-116 35)","USDA-ARS","PRESERVED_SPECIMEN","658705962","101375","",NA,NA,NA,"","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Calliopsis nigromaculata",NA,"Calliopsis nigromaculata",35,-116
"467","Calliopsis obscurella Cresson, 1879","POINT (-117.25913 34.33781)","USDA-ARS","PRESERVED_SPECIMEN","658708914","KWC0013048","1986-04-29T00:00:00",1986,4,29,"","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Calliopsis obscurella",NA,"Calliopsis obscurella",34.33781,-117.25913
"468","Centris cockerelli Fox, 1899","POINT (-116 35)","USDA-ARS","PRESERVED_SPECIMEN","658711190","100633","",NA,NA,NA,"","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Centris cockerelli",NA,"Centris cockerelli",35,-116
"469","Ceratina apacheorum Daly, 1973","POINT (-117.5542 36.31137)","USDA-ARS","PRESERVED_SPECIMEN","658715231","98940","1937-05-20T00:00:00",1937,5,20,"","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Ceratina apacheorum",NA,"Ceratina apacheorum",36.31137,-117.5542
"470","Ceratina nanula Cockerell, 1897","POINT (-117.08 36.84)","USDA-ARS","PRESERVED_SPECIMEN","658715925","85800","1994-04-17T00:00:00",1994,4,17,"","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Ceratina nanula",NA,"Ceratina nanula",36.84,-117.08
"471","Ceratina pacifica H.S.Smith, 1907","POINT (-115.61144 35.53379)","USDA-ARS","PRESERVED_SPECIMEN","658723269","BBSL185187","1975-07-04T00:00:00",1975,7,4,"","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Ceratina pacifica",NA,"Ceratina pacifica",35.53379,-115.61144
"472","Chelostoma incisulum Michener, 1938","POINT (-118.066 35.1992)","USDA-ARS","PRESERVED_SPECIMEN","658726789","BBSL257699","1982-04-30T00:00:00",1982,4,30,"","Animalia","Arthropoda","Insecta","Hymenoptera","Megachilidae","Chelostoma incisulum",NA,"Chelostoma incisulum",35.1992,-118.066
"473","Coelioxys hirsutissima Cockerell, 1912","POINT (-117.5725 34.46939)","USDA-ARS","PRESERVED_SPECIMEN","658729722","KWC0008756","1981-05-12T00:00:00",1981,5,12,"","Animalia","Arthropoda","Insecta","Hymenoptera","Megachilidae","Coelioxys hirsutissima",NA,"Coelioxys hirsutissima",34.46939,-117.5725
"474","Colletes consors Cresson, 1868","POINT (-115.456 35.1254)","USDA-ARS","PRESERVED_SPECIMEN","658733114","BBSL339518","1998-07-22T00:00:00",1998,7,22,"","Animalia","Arthropoda","Insecta","Hymenoptera","Colletidae","Colletes consors",NA,"Colletes consors",35.1254,-115.456
"475","Micralictoides mojavensis Bohart, 1942","POINT (-115 35)","USDA-ARS","PRESERVED_SPECIMEN","658734005","136900","",NA,NA,NA,"","Animalia","Arthropoda","Insecta","Hymenoptera","Halictidae","Micralictoides mojavensis",NA,"Micralictoides mojavensis",35,-115
"476","Perdita optiva Timberlake, 1954","POINT (-115 35)","USDA-ARS","PRESERVED_SPECIMEN","658734438","BBSL285001","",NA,NA,NA,"","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Perdita optiva",NA,"Perdita optiva",35,-115
"477","Perdita sexfasciata Timberlake, 1954","POINT (-115 35)","USDA-ARS","PRESERVED_SPECIMEN","658734492","BBSL295291","",NA,NA,NA,"","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Perdita sexfasciata",NA,"Perdita sexfasciata",35,-115
"478","Colletes covilleae Timberlake, 1951","POINT (-116 35)","USDA-ARS","PRESERVED_SPECIMEN","658738885","100814","",NA,NA,NA,"","Animalia","Arthropoda","Insecta","Hymenoptera","Colletidae","Colletes covilleae",NA,"Colletes covilleae",35,-116
"479","Colletes prosopidis Cockerell, 1897","POINT (-116 36)","USDA-ARS","PRESERVED_SPECIMEN","658740738","BBSL283088","",NA,NA,NA,"","Animalia","Arthropoda","Insecta","Hymenoptera","Colletidae","Colletes prosopidis",NA,"Colletes prosopidis",36,-116
"480","Colletes slevini Cockerell, 1925","POINT (-115 35)","USDA-ARS","PRESERVED_SPECIMEN","658750421","97973","",NA,NA,NA,"","Animalia","Arthropoda","Insecta","Hymenoptera","Colletidae","Colletes slevini",NA,"Colletes slevini",35,-115
"481","Colletes wootoni Cockerell, 1897","POINT (-115.63401 34.98426)","USDA-ARS","PRESERVED_SPECIMEN","658751448","BBSL606984","1995-05-09T00:00:00",1995,5,9,"","Animalia","Arthropoda","Insecta","Hymenoptera","Colletidae","Colletes wootoni",NA,"Colletes wootoni",34.98426,-115.63401
"482","Conanthalictus cockerelli Timberlake, 1961","POINT (-115 35)","USDA-ARS","PRESERVED_SPECIMEN","658752104","99689","",NA,NA,NA,"","Animalia","Arthropoda","Insecta","Hymenoptera","Halictidae","Conanthalictus cockerelli",NA,"Conanthalictus cockerelli",35,-115
"483","Diadasia bituberculata (Cresson, 1879)","POINT (-117.90479 35.83689)","USDA-ARS","PRESERVED_SPECIMEN","658753725","BBSL397819","1995-05-23T00:00:00",1995,5,23,"","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Diadasia bituberculata",NA,"Diadasia bituberculata",35.83689,-117.90479
"484","Dianthidium arizonicum Rohwer, 1916","POINT (-116 36)","USDA-ARS","PRESERVED_SPECIMEN","658759503","BBSL530635","",NA,NA,NA,"","Animalia","Arthropoda","Insecta","Hymenoptera","Megachilidae","Dianthidium arizonicum",NA,"Dianthidium arizonicum",36,-116
"485","Dianthidium dubium dilectum Timberlake, 1948","POINT (-116.49603 34.15608)","USDA-ARS","PRESERVED_SPECIMEN","658760123","KWC0010265","1983-06-06T00:00:00",1983,6,6,"","Animalia","Arthropoda","Insecta","Hymenoptera","Megachilidae","Dianthidium dubium",NA,"Dianthidium dubium",34.15608,-116.49603
"486","Dianthidium parvum parvum","POINT (-115 35)","USDA-ARS","PRESERVED_SPECIMEN","658761212","BBSL671986","",NA,NA,NA,"","Animalia","Arthropoda","Insecta","Hymenoptera","Megachilidae","Dianthidium parvum",NA,"Dianthidium parvum",35,-115
"487","Dianthidium parvum schwarzi Timberlake, 1943","POINT (-116 36)","USDA-ARS","PRESERVED_SPECIMEN","658761348","BBSL531158","",NA,NA,NA,"","Animalia","Arthropoda","Insecta","Hymenoptera","Megachilidae","Dianthidium parvum",NA,"Dianthidium parvum",36,-116
"488","Dianthidium platyurum platyurum","POINT (-116 36)","USDA-ARS","PRESERVED_SPECIMEN","658761447","BBSL637693","",NA,NA,NA,"","Animalia","Arthropoda","Insecta","Hymenoptera","Megachilidae","Dianthidium platyurum",NA,"Dianthidium platyurum",36,-116
"489","Dianthidium pudicum (Cresson, 1879)","POINT (-116 36)","USDA-ARS","PRESERVED_SPECIMEN","658761843","BBSL538443","",NA,NA,NA,"","Animalia","Arthropoda","Insecta","Hymenoptera","Megachilidae","Dianthidium pudicum",NA,"Dianthidium pudicum",36,-116
"490","Dianthidium pudicum pudicum","POINT (-116 36)","USDA-ARS","PRESERVED_SPECIMEN","658762103","BBSL533380","",NA,NA,NA,"","Animalia","Arthropoda","Insecta","Hymenoptera","Megachilidae","Dianthidium pudicum",NA,"Dianthidium pudicum",36,-116
"491","Triepeolus diversipes Cockerell, 1924","POINT (-116 36)","USDA-ARS","PRESERVED_SPECIMEN","658765975","BBSL318199","",NA,NA,NA,"","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Triepeolus diversipes",NA,"Triepeolus diversipes",36,-116
"492","Triepeolus timberlakei Cockerell, 1929","POINT (-115 35)","USDA-ARS","PRESERVED_SPECIMEN","658766884","112026","",NA,NA,NA,"","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Triepeolus timberlakei",NA,"Triepeolus timberlakei",35,-115
"493","Dufourea desertorum Timberlake, 1939","POINT (-116.93 36.75)","USDA-ARS","PRESERVED_SPECIMEN","658767720","BBSL274388","1998-04-19T00:00:00",1998,4,19,"","Animalia","Arthropoda","Insecta","Hymenoptera","Halictidae","Dufourea desertorum",NA,"Dufourea desertorum",36.75,-116.93
"494","Dufourea fallugiae (Cockerell, 1906)","POINT (-114.81 34.42)","USDA-ARS","PRESERVED_SPECIMEN","658767838","BBSLID6270","1966-04-10T00:00:00",1966,4,10,"","Animalia","Arthropoda","Insecta","Hymenoptera","Halictidae","Dufourea fallugiae",NA,"Dufourea fallugiae",34.42,-114.81
"495","Dufourea mulleri (Cockerell, 1898)","POINT (-117.873 35.798)","USDA-ARS","PRESERVED_SPECIMEN","658770357","BBSL170563","1988-04-01T00:00:00",1988,4,1,"","Animalia","Arthropoda","Insecta","Hymenoptera","Halictidae","Dufourea mulleri",NA,"Dufourea mulleri",35.798,-117.873
"496","Dufourea snellingi Bohart, 1980","POINT (-116.2733 34.0315)","USDA-ARS","PRESERVED_SPECIMEN","658771978","BBSLID5632","1960-04-30T00:00:00",1960,4,30,"","Animalia","Arthropoda","Insecta","Hymenoptera","Halictidae","Dufourea snellingi",NA,"Dufourea snellingi",34.0315,-116.2733
"497","Eucera amoena (Zavortink, 1982)","POINT (-117.6666 37.1125)","USDA-ARS","PRESERVED_SPECIMEN","658776487","BBSL349419","2000-05-08T00:00:00",2000,5,8,"","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Protohalonia amoena",NA,"Protohalonia amoena",37.1125,-117.6666
"498","Eucera angustifrons (Timberlake, 1969)","POINT (-115.44352 35.13315)","USDA-ARS","PRESERVED_SPECIMEN","658776612","103998","1980-05-19T00:00:00",1980,5,19,"","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Eucera angustifrons",NA,"Eucera angustifrons",35.13315,-115.44352
"499","Exomalopsis solidaginis Cockerell, 1898","POINT (-115 35)","USDA-ARS","PRESERVED_SPECIMEN","658782219","101700","",NA,NA,NA,"","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Exomalopsis solidaginis",NA,"Exomalopsis solidaginis",35,-115
"500","Heriades timberlakei Michener, 1938","POINT (-115 35)","USDA-ARS","PRESERVED_SPECIMEN","658798032","103922","",NA,NA,NA,"","Animalia","Arthropoda","Insecta","Hymenoptera","Megachilidae","Heriades timberlakei",NA,"Heriades timberlakei",35,-115
"501","Hesperapis fulvipes Crawford, 1917","POINT (-115 35)","USDA-ARS","PRESERVED_SPECIMEN","658802018","BBSL282211","",NA,NA,NA,"","Animalia","Arthropoda","Insecta","Hymenoptera","Melittidae","Hesperapis fulvipes",NA,"Hesperapis fulvipes",35,-115
"502","Hexepeolus rhodogyne Linsley & Michener, 1937","POINT (-117.36 36.94)","USDA-ARS","PRESERVED_SPECIMEN","658808977","72492","1993-04-16T00:00:00",1993,4,16,"","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Hexepeolus rhodogyne",NA,"Hexepeolus rhodogyne",36.94,-117.36
"503","Hoplitis colei (Crawford, 1916)","POINT (-117.26917 34.33806)","USDA-ARS","PRESERVED_SPECIMEN","658809651","KWC0005373","1986-04-30T00:00:00",1986,4,30,"","Animalia","Arthropoda","Insecta","Hymenoptera","Megachilidae","Hoplitis colei",NA,"Hoplitis colei",34.33806,-117.26917
"504","Hoplitis robusta (Nylander, 1848)","POINT (-115.456 35.1254)","USDA-ARS","PRESERVED_SPECIMEN","658812783","BBSL338504","1998-07-22T00:00:00",1998,7,22,"","Animalia","Arthropoda","Insecta","Hymenoptera","Megachilidae","Hoplitis robusta",NA,"Hoplitis robusta",35.1254,-115.456
"505","Hoplitis torchioi (Parker, 1979)","POINT (-117.90784 35.36829)","USDA-ARS","PRESERVED_SPECIMEN","658813557","BBSL523230","1964-04-15T00:00:00",1964,4,15,"","Animalia","Arthropoda","Insecta","Hymenoptera","Megachilidae","Hoplitis torchioi",NA,"Hoplitis torchioi",35.36829,-117.90784
"506","Hoplitis palmarum (Cockerell, 1935)","POINT (-116.05 34.20833)","USDA-ARS","PRESERVED_SPECIMEN","658817634","KWC0006446","1984-04-12T00:00:00",1984,4,12,"","Animalia","Arthropoda","Insecta","Hymenoptera","Megachilidae","Hoplitis palmarum",NA,"Hoplitis palmarum",34.20833,-116.05
