"","scientificName","WKT","institutionCode","basisOfRecord","occurrenceID","catalogNumber","eventDate","year","month","day","georeferenceVerificationStatus","kingdom","phylum","class","order","family","scientific_name","subgenus","accepted_name","decimalLatitude","decimalLongitude"
"71","Perdita polytropica obsoleta Timberlake, 1962","POINT (-117.1764 36.29278)","KU","PRESERVED_SPECIMEN","1769ac28-1ed6-11e3-bfac-90b11c41863e","224789","1937-06-01T00:00:00",1937,6,1,"","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Perdita polytropica",NA,"Perdita polytropica",36.29278,-117.1764
"72","Ashmeadiella femorata (Michener, 1936)","POINT (-117.1764 36.29278)","KU","PRESERVED_SPECIMEN","17c9987e-1ed6-11e3-bfac-90b11c41863e","460135","1937-05-25T00:00:00",1937,5,25,"","Animalia","Arthropoda","Insecta","Hymenoptera","Megachilidae","Ashmeadiella femorata",NA,"Ashmeadiella femorata",36.29278,-117.1764
"73","Trachusa bequaerti (Schwarz, 1926)","POINT (-115.57 34.73361)","KU","PRESERVED_SPECIMEN","1df0ba9f-1ed6-11e3-bfac-90b11c41863e","415888","1952-06-30T00:00:00",1952,6,30,"","Animalia","Arthropoda","Insecta","Hymenoptera","Megachilidae","Trachusa bequaerti",NA,"Trachusa bequaerti",34.73361,-115.57
"74","Conanthalictus mentzeliae Timberlake, 1961","POINT (-117.585 34.99444)","KU","PRESERVED_SPECIMEN","2090db0f-1ed6-11e3-bfac-90b11c41863e","292636","1964-04-11T00:00:00",1964,4,11,"","Animalia","Arthropoda","Insecta","Hymenoptera","Halictidae","Conanthalictus mentzeliae",NA,"Conanthalictus mentzeliae",34.99444,-117.585
"75","Osmia atrocyanea Cockerell, 1897","POINT (-117.45 34.95)","KU","PRESERVED_SPECIMEN","21068066-1ed6-11e3-bfac-90b11c41863e","464334","1936-05-16T00:00:00",1936,5,16,"","Animalia","Arthropoda","Insecta","Hymenoptera","Megachilidae","Osmia atrocyanea",NA,"Osmia atrocyanea",34.95,-117.45
"76","Perdita callicerata Cockerell, 1897","POINT (-115.5 35.22)","KU","PRESERVED_SPECIMEN","25770a78-1ed6-11e3-bfac-90b11c41863e","409273","1988-06-30T00:00:00",1988,6,30,"","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Perdita callicerata",NA,"Perdita callicerata",35.22,-115.5
"77","Diadasia consociata Timberlake, 1939","POINT (-118.0619 36.60611)","KU","PRESERVED_SPECIMEN","2738bef2-1ed6-11e3-bfac-90b11c41863e","27864","1940-07-17T00:00:00",1940,7,17,"","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Diadasia consociata",NA,"Diadasia consociata",36.60611,-118.0619
"78","Colletes californicus Provancher, 1895","POINT (-118.1156 34.57944)","KU","PRESERVED_SPECIMEN","334593c1-1ed6-11e3-bfac-90b11c41863e","378915","1931-04-11T00:00:00",1931,4,11,"","Animalia","Arthropoda","Insecta","Hymenoptera","Colletidae","Colletes californicus",NA,"Colletes californicus",34.57944,-118.1156
"79","Coelioxys rufitarsis Smith, 1854","POINT (-118.0619 36.60611)","KU","PRESERVED_SPECIMEN","347d44ed-1ed6-11e3-bfac-90b11c41863e","468020","1937-06-05T00:00:00",1937,6,5,"","Animalia","Arthropoda","Insecta","Hymenoptera","Megachilidae","Coelioxys rufitarsis",NA,"Coelioxys rufitarsis",36.60611,-118.0619
"80","Melissodes bicolorata LaBerge, 1961","POINT (-116.8667 36.45556)","KU","PRESERVED_SPECIMEN","36043d6c-1ed6-11e3-bfac-90b11c41863e","513658","1980-03-31T00:00:00",1980,3,31,"","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Melissodes bicolorata",NA,"Melissodes bicolorata",36.45556,-116.8667
"81","Perdita lateralis daleae Timberlake, 1962","POINT (-117.1764 36.29278)","KU","PRESERVED_SPECIMEN","361b9677-1ed6-11e3-bfac-90b11c41863e","299867","1937-05-25T00:00:00",1937,5,25,"","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Perdita lateralis",NA,"Perdita lateralis",36.29278,-117.1764
"82","Melissodes tepida tepida","POINT (-117.95 36.43333)","KU","PRESERVED_SPECIMEN","36d31eba-1ed6-11e3-bfac-90b11c41863e","603429","1937-06-02T00:00:00",1937,6,2,"","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Melissodes tepida",NA,"Melissodes tepida",36.43333,-117.95
"83","Megachile maurata Mitchell, 1936","POINT (-117.0944 36.11833)","KU","PRESERVED_SPECIMEN","3e3545b6-1ed6-11e3-bfac-90b11c41863e","498010","1937-05-30T00:00:00",1937,5,30,"","Animalia","Arthropoda","Insecta","Hymenoptera","Megachilidae","Megachile maurata",NA,"Megachile maurata",36.11833,-117.0944
"84","Megachile brevis Say, 1837","POINT (-118.0619 36.60611)","KU","PRESERVED_SPECIMEN","3fd51ee6-1ed6-11e3-bfac-90b11c41863e","429943","1937-06-05T00:00:00",1937,6,5,"","Animalia","Arthropoda","Insecta","Hymenoptera","Megachilidae","Megachile brevis",NA,"Megachile brevis",36.60611,-118.0619
"85","Anthophora petrophila Cockerell, 1905","POINT (-117.0944 36.11833)","KU","PRESERVED_SPECIMEN","4186ac9a-1ed6-11e3-bfac-90b11c41863e","430540","1937-05-30T00:00:00",1937,5,30,"","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Anthophora petrophila",NA,"Anthophora petrophila",36.11833,-117.0944
"86","Centris tiburonensis Cockerell, 1923","POINT (-115.57 34.73361)","KU","PRESERVED_SPECIMEN","421700de-1ed6-11e3-bfac-90b11c41863e","430729","1952-06-30T00:00:00",1952,6,30,"","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Centris tiburonensis",NA,"Centris tiburonensis",34.73361,-115.57
"87","Anthidium cockerelli Schwarz, 1928","POINT (-115.6528 35.31609)","KU","PRESERVED_SPECIMEN","9471ca5c-0140-4429-8812-3742c44567de","1306887","1990-05-02T00:00:00",1990,5,2,"","Animalia","Arthropoda","Insecta","Hymenoptera","Megachilidae","Anthidium cockerelli",NA,"Anthidium cockerelli",35.31609,-115.6528
"88","Anthophora timberlakei Orr, 2018","POINT (-116.9208 34.41784)","KU","PRESERVED_SPECIMEN","9895b41e-dcc4-4100-8dd2-09586dd7ca1b","1331956","1937-05-27T00:00:00",1937,5,27,"","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Anthophora timberlakei",NA,"Anthophora timberlakei",34.41784,-116.9208
"89","Megachile gentilis Cresson, 1872","POINT (-117.1764 36.29278)","KU","PRESERVED_SPECIMEN","181df3d3-1ed6-11e3-bfac-90b11c41863e","423160","1931-09-06T00:00:00",1931,9,6,"","Animalia","Arthropoda","Insecta","Hymenoptera","Megachilidae","Megachile gentilis",NA,"Megachile gentilis",36.29278,-117.1764
"90","Anthidium edwardsii Cresson, 1878","POINT (-118.0619 36.60611)","KU","PRESERVED_SPECIMEN","186bfc97-1ed6-11e3-bfac-90b11c41863e","435910","1937-06-05T00:00:00",1937,6,5,"","Animalia","Arthropoda","Insecta","Hymenoptera","Megachilidae","Anthidium edwardsii",NA,"Anthidium edwardsii",36.60611,-118.0619
